x1;x2;y
3,586833455;3,778429287;1
2,558486426;2,134447661;1
0,723407792;2,765598999;1
1,426734586;2,955136677;1
0,775387385;1,949434299;1
1,526599364;1,69418458;1
-2,620366677;-1,106326298;1
-1,957884127;-3,047298149;1
-2,910921649;-0,028662614;1
-1,841971228;-2,383632106;1
-2,654584644;-0,345854698;1
-0,232712731;-0,487787306;1
-1,283292524;-1,917034266;1
-1,089825771;-1,432779085;1
-1,615814642;-3,02454848;1
-0,317823919;-1,676993497;1
-2,635736454;-0,956387542;1
-2,46164473;-1,900921513;1
-0,567717761;-2,454136909;1
-2,650696353;-2,655781852;1
-2,207380744;-2,035922423;1
-2,392807929;-0,930838539;1
-2,319992869;-2,48397493;1
-2,279113303;-2,121010111;1
-1,505811669;-3,294140004;1
-2,177330482;-1,505687164;1
-2,505957462;-0,69209848;1
-0,656961175;-0,502958991;1
-2,214579409;-1,185297269;1
-2,17955653;-3,86978879;1
-2,100190741;-1,517970496;1
-1,287333693;-1,543864397;1
-2,073564404;-2,353400286;1
-2,037634171;-1,829510529;1
-2,681660479;-2,864035954;1
-2,324270272;-1,320769226;1
-1,93983956;-2,327101015;1
-2,588894486;-3,569082185;1
-1,468503807;-2,367450756;1
-3,518394082;-0,635565071;1
-1,693442139;-2,334281365;1
-3,536449824;-1,267249958;1
-2,300976127;-1,05341436;1
-2,528279904;-1,995601296;1
-2,652094781;-2,352322306;1
-2,056896778;-2,529695509;1
-3,914359426;-1,260410774;1
-0,823416688;-3,063457415;1
-3,664972436;-1,753789156;1
-2,463530401;-2,289499367;1
-3,115920105;-4,264889356;1
-2,750819001;-3,408850456;1
0,087166546;-1,083980671;1
-1,98260438;-2,191278951;1
-3,28630053;-1,196716784;1
-3,640605534;-0,112525537;1
0,450187101;1,473881181;2
-0,018559833;0,677268492;2
-0,318068375;0,379962687;2
-0,929362147;-0,192798426;2
-1,48746031;1,577891795;2
-1,075192297;0,596234109;2
1,000028804;-1,173576941;2
-0,621266695;-0,155642535;2
-1,384426847;-1,91890982;2
1,869290622;-0,195258846;2
0,425100377;-2,59232767;2
-0,238647101;1,314002167;2
1,058483049;-0,635543001;2
0,886422651;-0,429978839;2
-0,619243048;-0,169318332;2
2,206102465;0,612218174;2
-0,25502703;0,678340177;2
-1,42449465;0,567951972;2
-0,144399602;-0,572542604;2
0,207538339;-1,363291256;2
2,307978399;-0,388722244;2
0,105802368;0,277914132;2
0,456998805;-0,823081122;2
-0,077152935;-0,068840934;2
-0,334000842;-1,167662326;2
-0,034726028;-0,008309014;2
0,787639606;0,128855402;2
2,075245009;-0,145875628;2
1,027392439;-0,163910957;2
1,207908398;1,763552003;2
-1,231323422;0,762586512;2
0,98389557;1,111431081;2
0,219924804;-0,923206953;2
-1,467250029;0,164341838;2
0,521022743;1,154825187;2
-0,158754605;-0,056521425;2
1,464587312;-2,129360648;2
-0,766082;0,344845762;2
-0,430211754;-1,904955446;2
-0,926109497;-0,811170153;2
-0,177103961;1,324004321;2
0,402011779;0,615636849;2
-0,731748173;1,091668956;2
0,830373168;0,306604862;2
-1,208082786;-0,110158762;2
-1,047984413;-0,924312773;2
1,441157707;1,592913754;2
-1,015847465;0,045010598;2
0,411974712;-0,715128401;2
-0,381076051;0,8652231;2
